F;food;Mom's Cake;20;0;86;89 // start game food
F;food;The Carrot of Minuscule Hunger Restoration;1;50;12;15
F;food;Salamander Pie;5;10;13;19
F;food;Baked Ham;10;50;14;32
F;food;Wild Turnips;50;110;15;34
F;food;Candied Beetles;10;10;16;13
F;food;Swamp Vegetable;5;1;16;35
F;food;Kweedus Meat;100;500;17;36  // does commenting stuff work here?
F;food;Wheat;10;15;83;16 // these are foods around the castle
F;food;Wheat;10;15;82;17 // apparently SPACES are NOT PERMITTED...
F;food;Wheat;10;15;82;14
F;food;Wheat;10;15;78;17
F;food;Wheat;10;15;85;33
F;food;Wheat;10;10;83;35
F;food;Wheat;10;10;81;34
F;food;Wheat;10;10;78;33
F;food;Wheat;10;10;77;34
F;food;Cabbage;5;2;105;30 // top row of cabbage
F;food;Cabbage;5;2;105;31
F;food;Cabbage;5;2;105;32
F;food;Cabbage;5;2;105;33
F;food;Cabbage;5;2;105;34
F;food;Cabbage;5;2;105;35
F;food;Cabbage;5;2;105;36
F;food;Cabbage;5;2;105;37
F;food;Cabbage;5;2;105;38
F;food;Cabbage;5;2;105;39
F;food;Wilted Cabbage;3;2;107;30 // middle row of cabbage
F;food;Wilted Cabbage;3;2;107;31
F;food;Wilted Cabbage;3;2;107;32
F;food;Wilted Cabbage;3;2;107;33
F;food;Wilted Cabbage;3;2;107;34
F;food;Wilted Cabbage;3;2;107;35
F;food;Wilted Cabbage;3;2;107;36
F;food;Wilted Cabbage;3;2;107;37
F;food;Wilted Cabbage;3;2;107;38
F;food;Wilted Cabbage;3;2;107;39
F;food;Dead Cabbage;1;2;109;30 // bottom row of cabbage
F;food;Dead Cabbage;1;2;109;31
F;food;Dead Cabbage;1;2;109;32
F;food;Dead Cabbage;1;2;109;33
F;food;Dead Cabbage;1;2;109;34
F;food;Dead Cabbage;1;2;109;35
F;food;Dead Cabbage;1;2;109;36
F;food;Dead Cabbage;1;2;109;37
F;food;Dead Cabbage;1;2;109;38
F;food;Dead Cabbage;1;2;109;39
F;food;Boulder Biscuits;5;11;16;114 // AAA Start of right hand side
F;food;Swamp Beet;9;15;16;118
F;food;Lake Leeks;6;15;16;120
F;food;Swamp Beet;10;17;16;124
F;food;Lake Leeks;12;17;17;113
F;food;Lake Leeks;11;13;18;107
F;food;Boulder Biscuits;7;16;18;125
F;food;Lake Leeks;7;15;19;113
F;food;Swamp Beet;13;15;19;117
F;food;Boulder Biscuits;6;11;19;123
F;food;Swamp Beet;4;17;20;115
F;food;Boulder Biscuits;11;11;21;111
F;food;Lake Leeks;10;15;22;119
F;food;Lake Leeks;6;12;22;121
F;food;Lake Leeks;10;14;23;116
F;food;Lake Leeks;3;17;23;124
F;food;Lake Leeks;7;14;24;113
F;food;Boulder Biscuits;4;11;24;125
F;food;Lake Leeks;7;16;25;113
F;food;Lake Leeks;13;12;25;115
F;food;Boulder Biscuits;11;15;26;120
F;food;Swamp Beet;4;15;27;103
F;food;Lake Leeks;13;13;27;117
F;food;Lake Leeks;8;11;27;122
F;food;Boulder Biscuits;3;11;28;108
F;food;Boulder Biscuits;10;17;29;99
F;food;Lake Leeks;3;16;29;110
F;food;Boulder Biscuits;7;12;29;126
F;food;Swamp Beet;3;17;30;109
F;food;Boulder Biscuits;5;14;31;102
F;food;Swamp Beet;4;16;31;123
F;food;Lake Leeks;13;11;32;119
F;food;Boulder Biscuits;5;16;33;108
F;food;Lake Leeks;13;12;33;122
F;food;Lake Leeks;3;13;34;122
F;food;Swamp Beet;9;11;35;124
